title,start,end
Chapter 01 - The Study of Life,29,52
Chapter 02 - The Chemical Foundation of Life,53,82
Chapter 03 - Biological Macromolecules,83,118
Chapter 04 - Cell Structure,119,152
Chapter 05 - Structure and Function of Plasma Membranes,153,184
Chapter 06 - Metabolism,185,210
Chapter 07 - Cellular Respiration,211,238
Chapter 08 - Photosynthesis,239,260
Chapter 09 - Cell Communication,261,286
Chapter 10 - Cell Reproduction,287,314
Chapter 11 - Meiosis and Sexual Reproduction,315,332
Chapter 12 - Mendel's Experiments and Heredity,333,364
Chapter 13 - Modern Understandings of Inheritance,365,382
Chapter 14 - DNA Structure and Function,383,410
Chapter 15 - Genes and Proteins,411,438
Chapter 16 - Gene Expression,439,462
Chapter 17 - Biotechnology and Genomics,463,490
Chapter 18 - Evolution and the Origin of Species,491,514
Chapter 19 - The Evolution of Populations,515,534
Chapter 20 - Phylogenies and the History of Life,535,554
Chapter 21 - Viruses,555,584
Chapter 22 - Prokaryotes: Bacteria and Archaea,585,622
Chapter 23 - Protists,623,660
Chapter 24 - Fungi,661,694
Chapter 25 - Seedless Plants,695,722
Chapter 26 - Seed Plants,723,752
Chapter 27 - Introduction to Animal Diversity,753,778
Chapter 28 - Invertebrates,779,834
Chapter 29 - Vertebrates,835,886
Chapter 30 - Plant Form and Physiology,887,928
Chapter 31 - Soil and Plant Nutrition,929,946
Chapter 32 - Plant Reproduction,947,978
Chapter 33 - The Animal Body: Basic Form and Function,979,1004
Chapter 34 - Animal Nutrition and the Digestive System,1005,1034
Chapter 35 - The Nervous System,1035,1074
Chapter 36 - Sensory Systems,1075,1106
Chapter 37 - The Endocrine System,1107,1138
Chapter 38 - The Musculoskeletal System,1139,1180
Chapter 39 - The Respiratory System,1181,1206
Chapter 40 - The Circulatory System,1207,1230
Chapter 41 - Osmotic Regulation and Excretion,1231,1250
Chapter 42 - The Immune System,1251,1284
Chapter 43 - Animal Reproduction and Development,1285,1320
Chapter 44 - Ecology and the Biosphere,1321,1356
Chapter 45 - Population and Community Ecology,1357,1404
Chapter 46 - Ecosystems,1405,1434
Chapter 47 - Conservation Biology and Biodiversity,1435,1466
