title,start,end
Chapter 01 - Essential Ideas,23,74
"Chapter 02 - Atoms, Molecules, and Ions",75,130
Chapter 03 - Composition of Substances and Solutions,131,172
Chapter 04 - Stoichiometry of Chemical Reactions,173,224
Chapter 05 - Thermochemistry,225,270
Chapter 06 - Electronic Structure and Periodic Properties of Elements,271,326
Chapter 07 - Chemical Bonding and Molecular Geometry,327,388
Chapter 08 - Advanced Theories of Covalent Bonding,389,428
Chapter 09 - Gases,429,488
Chapter 10 - Liquids and Solids,489,560
Chapter 11 - Solutions and Colloids,561,612
Chapter 12 - Kinetics,613,670
Chapter 13 - Fundamental Equilibrium Concepts,671,706
Chapter 14 - Acid-Base Equilibria,707,762
Chapter 15 - Equilibria of Other Reaction Classes,763,796
Chapter 16 - Thermodynamics,797,830
Chapter 17 - Electrochemistry,831,870
"Chapter 18 - Representative Metals, Metalloids, and Nonmetals",871,948
Chapter 19 - Transition Metals and Coordination Chemistry,949,990
Chapter 20 - Organic Chemistry,991,1034
Chapter 21 - Nuclear Chemistry,1035,1090
