doc,rank,term,count
physics_chapters/chapter_01.md,1,physics,101
physics_chapters/chapter_01.md,2,units,90
physics_chapters/chapter_01.md,3,uncertainty,67
physics_chapters/chapter_01.md,4,significant,58
physics_chapters/chapter_01.md,5,mass,55
physics_chapters/chapter_01.md,6,figure,46
physics_chapters/chapter_01.md,7,example,46
physics_chapters/chapter_01.md,8,figures,46
physics_chapters/chapter_01.md,9,time,43
physics_chapters/chapter_01.md,10,value,42
physics_chapters/chapter_01.md,11,measurement,41
physics_chapters/chapter_01.md,12,unit,40
physics_chapters/chapter_01.md,13,length,37
physics_chapters/chapter_01.md,14,measured,37
physics_chapters/chapter_01.md,15,laws,35
physics_chapters/chapter_01.md,16,measurements,35
physics_chapters/chapter_01.md,17,physical,34
physics_chapters/chapter_01.md,18,speed,34
physics_chapters/chapter_01.md,19,precision,34
physics_chapters/chapter_01.md,20,distance,30
physics_chapters/chapter_02.md,1,velocity,358
physics_chapters/chapter_02.md,2,acceleration,278
physics_chapters/chapter_02.md,3,time,263
physics_chapters/chapter_02.md,4,displacement,137
physics_chapters/chapter_02.md,5,motion,135
physics_chapters/chapter_02.md,6,figure,129
physics_chapters/chapter_02.md,7,position,117
physics_chapters/chapter_02.md,8,speed,116
physics_chapters/chapter_02.md,9,average,115
physics_chapters/chapter_02.md,10,direction,93
physics_chapters/chapter_02.md,11,distance,92
physics_chapters/chapter_02.md,12,graph,86
physics_chapters/chapter_02.md,13,example,85
physics_chapters/chapter_02.md,14,b,80
physics_chapters/chapter_02.md,15,constant,74
physics_chapters/chapter_02.md,16,equation,71
physics_chapters/chapter_02.md,17,initial,70
physics_chapters/chapter_02.md,18,final,69
physics_chapters/chapter_02.md,19,negative,65
physics_chapters/chapter_02.md,20,change,64
physics_chapters/chapter_03.md,1,vector,194
physics_chapters/chapter_03.md,2,velocity,187
physics_chapters/chapter_03.md,3,direction,170
physics_chapters/chapter_03.md,4,figure,123
physics_chapters/chapter_03.md,5,motion,114
physics_chapters/chapter_03.md,6,relative,108
physics_chapters/chapter_03.md,7,horizontal,104
physics_chapters/chapter_03.md,8,vectors,103
physics_chapters/chapter_03.md,9,components,87
physics_chapters/chapter_03.md,10,magnitude,86
physics_chapters/chapter_03.md,11,vertical,80
physics_chapters/chapter_03.md,12,initial,75
physics_chapters/chapter_03.md,13,projectile,71
physics_chapters/chapter_03.md,14,addition,64
physics_chapters/chapter_03.md,15,east,61
physics_chapters/chapter_03.md,16,speed,60
physics_chapters/chapter_03.md,17,north,59
physics_chapters/chapter_03.md,18,air,57
physics_chapters/chapter_03.md,19,find,57
physics_chapters/chapter_03.md,20,straight,56
physics_chapters/chapter_04.md,1,force,467
physics_chapters/chapter_04.md,2,forces,243
physics_chapters/chapter_04.md,3,system,143
physics_chapters/chapter_04.md,4,newton,138
physics_chapters/chapter_04.md,5,motion,138
physics_chapters/chapter_04.md,6,acceleration,125
physics_chapters/chapter_04.md,7,weight,125
physics_chapters/chapter_04.md,8,mass,113
physics_chapters/chapter_04.md,9,object,112
physics_chapters/chapter_04.md,10,figure,111
physics_chapters/chapter_04.md,11,law,105
physics_chapters/chapter_04.md,12,external,88
physics_chapters/chapter_04.md,13,direction,85
physics_chapters/chapter_04.md,14,body,76
physics_chapters/chapter_04.md,15,tension,71
physics_chapters/chapter_04.md,16,acting,67
physics_chapters/chapter_04.md,17,net,67
physics_chapters/chapter_04.md,18,example,64
physics_chapters/chapter_04.md,19,second,61
physics_chapters/chapter_04.md,20,magnitude,59
physics_chapters/chapter_05.md,1,force,180
physics_chapters/chapter_05.md,2,friction,137
physics_chapters/chapter_05.md,3,drag,69
physics_chapters/chapter_05.md,4,object,63
physics_chapters/chapter_05.md,5,forces,60
physics_chapters/chapter_05.md,6,figure,49
physics_chapters/chapter_05.md,7,area,48
physics_chapters/chapter_05.md,8,velocity,46
physics_chapters/chapter_05.md,9,length,44
physics_chapters/chapter_05.md,10,magnitude,41
physics_chapters/chapter_05.md,11,coefficient,37
physics_chapters/chapter_05.md,12,deformation,36
physics_chapters/chapter_05.md,13,motion,34
physics_chapters/chapter_05.md,14,kinetic,34
physics_chapters/chapter_05.md,15,shear,34
physics_chapters/chapter_05.md,16,modulus,30
physics_chapters/chapter_05.md,17,small,30
physics_chapters/chapter_05.md,18,static,29
physics_chapters/chapter_05.md,19,change,28
physics_chapters/chapter_05.md,20,weight,28
physics_chapters/chapter_06.md,1,force,213
physics_chapters/chapter_06.md,2,earth,134
physics_chapters/chapter_06.md,3,acceleration,118
physics_chapters/chapter_06.md,4,centripetal,109
physics_chapters/chapter_06.md,5,velocity,90
physics_chapters/chapter_06.md,6,mass,79
physics_chapters/chapter_06.md,7,speed,78
physics_chapters/chapter_06.md,8,car,77
physics_chapters/chapter_06.md,9,figure,76
physics_chapters/chapter_06.md,10,radius,71
physics_chapters/chapter_06.md,11,motion,65
physics_chapters/chapter_06.md,12,gravity,63
physics_chapters/chapter_06.md,13,orbit,59
physics_chapters/chapter_06.md,14,circular,59
physics_chapters/chapter_06.md,15,center,57
physics_chapters/chapter_06.md,16,angular,57
physics_chapters/chapter_06.md,17,moon,57
physics_chapters/chapter_06.md,18,curve,54
physics_chapters/chapter_06.md,19,newton,54
physics_chapters/chapter_06.md,20,law,53
physics_chapters/chapter_07.md,1,energy,757
physics_chapters/chapter_07.md,2,work,380
physics_chapters/chapter_07.md,3,force,228
physics_chapters/chapter_07.md,4,potential,127
physics_chapters/chapter_07.md,5,power,126
physics_chapters/chapter_07.md,6,figure,108
physics_chapters/chapter_07.md,7,kinetic,92
physics_chapters/chapter_07.md,8,forces,90
physics_chapters/chapter_07.md,9,speed,85
physics_chapters/chapter_07.md,10,friction,82
physics_chapters/chapter_07.md,11,system,77
physics_chapters/chapter_07.md,12,example,64
physics_chapters/chapter_07.md,13,gravitational,63
physics_chapters/chapter_07.md,14,person,62
physics_chapters/chapter_07.md,15,b,61
physics_chapters/chapter_07.md,16,conservative,57
physics_chapters/chapter_07.md,17,mechanical,54
physics_chapters/chapter_07.md,18,spring,52
physics_chapters/chapter_07.md,19,constant,51
physics_chapters/chapter_07.md,20,net,50
physics_chapters/chapter_08.md,1,momentum,252
physics_chapters/chapter_08.md,2,collision,136
physics_chapters/chapter_08.md,3,velocity,130
physics_chapters/chapter_08.md,4,force,124
physics_chapters/chapter_08.md,5,energy,117
physics_chapters/chapter_08.md,6,mass,109
physics_chapters/chapter_08.md,7,kinetic,93
physics_chapters/chapter_08.md,8,ball,79
physics_chapters/chapter_08.md,9,system,78
physics_chapters/chapter_08.md,10,internal,61
