title,start,end
Chapter 01 - Introduction: The Nature of Science and Physics,23,54
Chapter 02 - Kinematics,55,116
Chapter 03 - Two-Dimensional Kinematics,117,164
Chapter 04 - Dynamics: Force and Newton's Laws of Motion,165,214
"Chapter 05 - Further Applications of Newton's Laws: Friction, Drag, and Elasticity",215,244
Chapter 06 - Uniform Circular Motion and Gravitation,245,286
"Chapter 07 - Work, Energy, and Energy Resources",287,340
Chapter 08 - Linear Momentum and Collisions,341,374
Chapter 09 - Statics and Torque,375,408
Chapter 10 - Rotational Motion and Angular Momentum,409,456
Chapter 11 - Fluid Statics,457,506
Chapter 12 - Fluid Dynamics and Its Biological and Medical Applications,507,546
"Chapter 13 - Temperature, Kinetic Theory, and the Gas Laws",547,594
Chapter 14 - Heat and Heat Transfer Methods,595,640
Chapter 15 - Thermodynamics,641,694
Chapter 16 - Oscillatory Motion and Waves,695,742
Chapter 17 - Physics of Hearing,743,790
Chapter 18 - Electric Charge and Electric Field,791,834
Chapter 19 - Electric Potential and Electric Field,835,874
"Chapter 20 - Electric Current, Resistance, and Ohm's Law",875,920
Chapter 21 - Circuits and DC Instruments,921,970
Chapter 22 - Magnetism,971,1020
"Chapter 23 - Electromagnetic Induction, AC Circuits, and Electrical Technologies",1021,1080
Chapter 24 - Electromagnetic Waves,1081,1114
Chapter 25 - Geometric Optics,1115,1168
Chapter 26 - Vision and Optical Instruments,1169,1202
Chapter 27 - Wave Optics,1203,1254
Chapter 28 - Special Relativity,1255,1294
Chapter 29 - Quantum Physics,1295,1336
Chapter 30 - Atomic Physics,1337,1396
Chapter 31 - Radioactivity and Nuclear Physics,1397,1440
Chapter 32 - Medical Applications of Nuclear Physics,1441,1484
Chapter 33 - Particle Physics,1485,1520
Chapter 34 - Frontiers of Physics,1521,1554
